Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response
1957,0,0,1,0,0,5,635,88,546,172,88,88,3,8,10,4,3,0,0,0,0,0,1
1954,0,0,1,1,1,3,11,1,6,2,1,6,2,1,1,2,2,0,0,0,0,0,0
1965,0,1,2,0,0,2,426,49,127,111,21,42,1,8,2,10,1,0,0,0,0,0,0
1984,0,1,0,1,0,2,11,4,20,10,3,5,2,2,0,4,2,0,0,0,0,0,0
1981,1,2,1,1,0,9,173,43,118,46,27,15,5,5,3,6,2,0,0,0,0,0,0
1967,2,1,1,0,1,1,520,42,98,0,42,14,2,6,4,10,2,0,0,0,0,0,0
1971,0,3,1,0,1,3,235,65,164,50,49,27,4,7,3,7,2,0,0,0,0,0,0
1985,1,2,0,1,0,3,76,10,56,3,1,23,2,4,0,4,3,0,0,0,0,0,0
1974,1,1,0,1,0,1,14,0,24,3,3,2,1,3,0,2,4,0,0,0,0,0,1
1983,0,2,1,1,0,1,5,5,6,0,2,1,1,1,0,2,3,0,0,0,0,0,0
1976,3,2,0,0,0,5,6,16,11,11,1,16,1,2,0,3,3,0,0,0,0,0,0
1952,2,3,1,1,1,5,233,2,53,3,5,14,3,6,1,5,2,0,0,0,0,0,0
1987,0,2,0,0,0,3,3,14,17,6,1,5,1,1,0,3,3,0,0,0,0,0,0
1946,1,0,2,0,0,2,1006,22,115,59,68,45,1,7,6,12,1,0,0,1,1,0,1
1980,0,2,1,1,1,5,53,5,19,2,13,4,3,3,0,3,3,0,0,0,0,0,0
1946,0,1,1,0,0,2,84,5,38,150,12,28,2,4,1,6,3,0,0,0,0,0,0
1949,2,2,2,0,1,9,1012,80,498,0,16,176,2,11,4,9,2,0,0,0,1,0,0
1985,4,0,0,1,0,8,4,17,19,30,24,39,2,2,1,3,2,0,0,0,0,0,0
1982,0,2,1,0,0,4,86,2,73,69,38,48,1,4,2,5,3,0,0,0,0,0,0
1949,1,2,1,0,1,6,867,0,86,0,0,19,3,2,3,9,3,0,1,0,0,0,0
1954,1,2,1,0,1,0,384,0,102,21,32,5,3,6,2,9,1,0,0,0,0,0,0
1951,0,1,1,0,1,6,270,3,27,39,6,99,7,7,1,5,3,0,0,0,0,0,0
1969,0,0,0,0,0,8,6,4,25,15,12,13,2,2,1,3,3,0,0,0,0,0,0
1976,0,2,1,1,1,0,173,4,30,3,6,41,4,5,1,4,3,0,0,0,0,0,0
1989,0,2,1,1,0,2,36,2,42,20,21,10,2,2,1,4,1,0,0,0,0,0,0
1965,1,2,2,0,0,9,684,100,801,21,66,0,1,6,9,10,0,0,0,1,0,0,0
1989,2,3,0,0,0,3,8,4,10,2,2,4,2,3,0,3,2,0,0,0,0,0,0
1963,2,1,1,0,0,5,112,17,44,34,22,89,1,2,5,3,1,0,0,0,0,0,0
1970,0,1,1,0,1,3,110,0,5,2,0,3,2,2,1,4,2,0,1,0,0,0,0
1952,1,3,1,0,2,0,96,12,96,33,22,43,6,4,1,6,2,0,0,0,0,0,1
1946,2,2,1,0,0,0,482,34,471,119,68,22,1,3,5,9,3,0,0,0,0,0,0
1951,2,0,1,1,1,5,40,0,19,2,1,3,1,2,0,3,3,0,0,0,0,0,0
1970,1,2,1,0,1,3,702,17,151,0,8,35,5,5,6,12,0,0,0,0,0,0,0
1976,4,2,0,1,0,7,6,3,14,15,7,36,3,3,1,2,3,0,0,0,0,0,0
1973,0,4,1,0,1,9,55,0,6,2,0,4,2,1,1,3,2,0,0,0,0,0,0
1943,1,3,1,0,0,5,437,8,206,160,49,42,2,7,10,5,2,1,0,0,0,0,1
1985,2,2,0,1,0,8,13,1,29,3,0,7,2,2,0,3,3,0,0,0,0,0,0
1957,0,1,0,0,1,0,9,0,6,3,1,3,1,0,0,3,2,0,0,0,0,0,0
1959,1,0,1,0,0,8,81,11,50,3,2,39,1,1,3,4,0,0,0,0,0,0,0
1975,2,2,0,1,0,1,3,1,10,3,2,12,3,2,0,3,2,0,0,0,0,0,0
1996,4,2,0,0,0,2,3,18,14,15,22,50,3,3,1,3,4,0,0,0,0,0,1
1968,0,1,1,1,0,9,13,6,15,3,5,13,1,2,0,2,4,0,0,0,0,0,0
1951,0,0,1,2,1,9,48,5,48,6,10,7,3,2,1,4,2,0,0,0,0,0,0
1954,1,2,2,1,1,3,826,50,317,50,38,38,9,5,2,12,3,0,0,0,0,0,0
1957,0,4,1,0,1,2,245,19,125,37,67,14,1,4,2,10,0,0,0,0,0,0,0
1977,0,0,0,1,0,5,12,6,20,30,1,3,2,2,0,3,3,0,0,0,0,0,0
1978,0,2,1,1,1,5,328,9,124,12,24,109,7,4,2,10,1,0,0,0,0,0,0
1955,2,1,2,0,0,5,984,51,432,180,120,190,1,3,10,13,0,0,0,1,0,0,1
1966,0,3,2,0,0,3,295,35,482,121,120,40,1,5,5,10,1,0,0,0,0,0,1
1988,0,0,0,1,0,3,13,0,8,2,1,5,1,1,0,4,1,0,0,0,0,0,0
1982,0,0,1,1,0,5,11,3,22,2,2,6,2,2,0,3,2,0,0,0,0,0,0
1968,1,2,1,0,1,6,447,0,28,0,0,43,3,8,2,6,3,0,0,0,0,0,0
1982,2,0,2,0,0,1,712,26,538,69,13,80,1,3,6,11,0,0,1,1,0,0,1
1975,0,1,1,1,1,1,452,18,102,16,18,6,4,4,2,12,1,0,0,0,0,0,0
1952,0,0,1,0,1,2,523,7,134,37,14,169,4,8,2,10,3,0,0,0,0,0,0
1951,1,4,1,0,1,0,546,0,48,0,6,6,1,7,3,8,2,0,0,0,0,0,0
1948,0,1,2,0,0,2,398,40,367,119,122,30,1,7,4,4,1,0,0,0,0,0,0
1971,0,2,0,1,0,7,1,3,6,3,6,15,1,1,1,2,3,0,0,0,0,0,1
1967,0,1,0,1,1,0,10,0,1,0,0,0,1,1,0,2,3,0,0,0,0,0,0
1958,0,1,1,0,1,0,247,49,159,7,82,109,1,5,2,10,1,0,0,0,0,0,0
1970,0,1,2,1,2,9,856,59,487,58,29,73,7,2,5,5,2,0,0,0,0,0,0
1954,2,2,1,0,0,0,496,36,460,189,60,12,3,4,8,6,1,0,0,0,0,0,0
